invariant_id	required_evidence	scenario	pass_condition	evidence
INV-AUTH-1	BEHAVIORAL	Run every cloud/platform mutation with the target-declared impersonated identity and an isolated kubeconfig.	The recorded principal is the declared principal at every mutation and no command reads ambient kubeconfig.	phase transcript; gcloud argv; kubeconfig path and cleanup
INV-AUTH-2	BEHAVIORAL	As the authenticated steady-state provisioner with no matching RBAC grant, attempt a Kubernetes write.	Authentication succeeds and Kubernetes authorization denies the write; an explicit RBAC grant is required to make the positive control succeed.	principal identity; paired denied/allowed kubectl operations; RBAC objects
INV-AUTH-3	BEHAVIORAL	Observe the install grant through PlatformInstalling and its removal only after readiness succeeds.	The grant exists for the complete install, is absent after Ready, and is also removed on a failed install.	phase lines; binding observations; readiness result; failure-path transcript
INV-AUTH-4	BEHAVIORAL	After closing the install window, probe both Kubernetes RBAC and GCP IAM fallback paths for privileged operations.	No path available to the steady-state identity can bind, escalate, or perform an ungranted workload mutation.	principal identity; negative can-i probes; denied real mutation
INV-AUTH-5	BEHAVIORAL	Probe each declared steady-state identity with its positive operation and explicit negative boundary.	Provisioner, publisher, deployer, and operator can perform only their declared capabilities.	principal per probe; positive and negative results; effective IAM and RBAC
INV-DESTROY-1	BEHAVIORAL	Destroy targets from CloudBootstrap, failed PlatformInstalling, Ready, and interrupted destruction states through sol cloud destroy.	Every infrastructure-holding state reaches provider-verified Absent without emergency cleanup.	phase lines; destroy transcript; independent absence inventory
INV-DESTROY-2	BEHAVIORAL	Populate every target-owned mutable store and repeat destroy, including a partial platform state.	Ordinary target activity does not make lifecycle destruction fail or require manual emptying/state removal outside the documented recovery.	population record; destroy transcript; absence inventory
INV-DESTROY-3	MECHANISM	Inspect the executed destroy plan and Sol orchestration for a representative target.	Terraform/provider dependencies order resources inside each root; Sol sequences roots and policy without a second resource deletion DAG.	terraform graph/plan; ordered root invocations; orchestration inspection
INV-DESTROY-4	BEHAVIORAL	After both Terraform destroys return success, query every target-owned GCP resource class independently.	GKE, Cloud SQL, registry, network/peering, addresses, disks, load balancers, DNS, service accounts, and temporary grants are absent or an approved retained item is named.	provider API inventory after Terraform exits
INV-DESTROY-5	BEHAVIORAL	Exercise a destroy that requires emergency cleanup, then a clean documented destroy.	The emergency-cleaned attempt is non-conformant and only the documented lifecycle attempt may pass.	two run outcomes; deviations; provider absence inventories
INV-RET-1	BEHAVIORAL	Destroy a disposable target with retention none and attempt an unsupported retained-backup policy.	Nothing billable survives retention none; unsupported retention is refused before mutation and is not reported as preserved.	target policy; refusal transcript; post-destroy inventory
INV-RET-2	BEHAVIORAL	Observe Ready protection, PreparingDestroy policy application, and retained-data policy as distinct facts.	Protection is on in Ready, explicitly lifted and verified for destroy, and no protection toggle is reported as retention evidence.	phase lines; Cloud SQL settings; policy and retained-item report
INV-CRED-1	BEHAVIORAL	Expire or remove credentials between two mutating phases and repeat with valid target credentials.	Each mutation resolves credentials anew; missing/expired credentials stop before billable mutation and the valid control proceeds.	per-phase principal; failure ordering; provider audit/inventory
INV-CRED-2	BEHAVIORAL	Seed conflicting ambient gcloud and kubeconfig state, then operate on the declared target.	The declared target identity and isolated kubeconfig are used; ambient state cannot redirect authority or destination.	ambient setup; command argv; observed project/cluster/principal
INV-PREREQ-1	BEHAVIORAL	Remove each required host tool/plugin in turn and invoke the lifecycle from Absent.	Preflight names the missing prerequisite and exits before any billable resource or state mutation.	preflight stderr/exit; state diff; provider inventory
INV-IDENT-1	BEHAVIORAL	Render and run a representative producer/consumer workload using every generated identity and namespace reference.	Rendered producer and consumer names agree and the live interaction succeeds; a deliberately mismatched fixture fails before mutation.	rendered manifests; negative preflight; live transaction
INV-EVID-1	MECHANISM	Classify every submitted observation as STATIC, MECHANISM, or BEHAVIORAL and validate the bundle.	No static/mechanism artifact is used to pass a row requiring behavioural evidence.	matrix results; evidence manifest; verifier output
INV-EVID-2	MECHANISM	Invert one required successful result and remove one required result from copies of the bundle.	Both mutated bundles fail verification with the affected invariant named.	mutation-test output
INV-EVID-3	MECHANISM	Audit claims that cite provider documentation.	Provider documentation establishes expected contracts only; every Sol behavioural pass cites run evidence rather than documentation alone.	claim/source inventory; evidence manifest
INV-EVID-4	MECHANISM	Validate the run identity and every evidence reference in the bundle.	Target, provider, revision, profile, timestamp, operator, deviations, and evidence locations are present and unambiguous.	bundle header; evidence manifest; verifier output
INV-SUBSTRATE-1	BEHAVIORAL	Exercise each claimed GCP realization: registry, storage, database, ingress, messaging, and observability.	Each claimed provider-neutral capability passes through its GCP mechanism; unused or blocked capabilities remain explicitly unqualified.	capability probes; provider objects; workload transactions
INV-SUBSTRATE-2	MECHANISM	Compare the run's mechanisms and exclusions with the GCP inventory.	Every provider-specific difference and unsupported capability is named; no AWS mechanism is treated as the GCP contract.	run deviations/exclusions; inventory diff; verifier output
